"alteration"	"cis"	"mediated_trans"	"mediated_trans_weighted"	"total_trans"	"frac_mediated_trans"	"frac_mediated_trans_weighted"	"num_path_h.all.v5.0.symbols"	"num_path_c2.cp.v5.0.symbols"	"num_path_c3.tft.v5.0.symbols"	"paths_h.all.v5.0.symbols"	"paths_c2.cp.v5.0.symbols"	"paths_c3.tft.v5.0.symbols"	"rank"
"AmplificationPeak3"	"S100A14"	0	0	311	0	0	0	0	0	""	""	""	176
"AmplificationPeak3"	"HIST2H4A"	0	0	311	0	0	0	0	0	""	""	""	177
"AmplificationPeak3"	"PPIAL4G"	0	0	311	0	0	0	0	0	""	""	""	178
"AmplificationPeak3"	"NR1I3"	0	0	311	0	0	0	0	0	""	""	""	179
"AmplificationPeak3"	"DCST2"	0	0	311	0	0	0	0	0	""	""	""	180
"AmplificationPeak3"	"NUDT17"	0	0	311	0	0	0	0	0	""	""	""	181
"AmplificationPeak3"	"KIAA0040"	0	0	311	0	0	0	0	0	""	""	""	182
"AmplificationPeak3"	"RALGPS2"	0	0	311	0	0	0	0	0	""	""	""	183
"AmplificationPeak3"	"SPRR2A"	0	0	311	0	0	0	0	0	""	""	""	184
"AmplificationPeak3"	"S100A13"	0	0	311	0	0	0	0	0	""	""	""	185
"AmplificationPeak3"	"MPC2"	0	0	311	0	0	0	0	0	""	""	""	186
"AmplificationPeak3"	"HIST2H2BE"	0	0	311	0	0	0	0	0	""	""	""	187
"AmplificationPeak3"	"TSTD1"	0	0	311	0	0	0	0	0	""	""	""	188
"AmplificationPeak3"	"PLA2G4A"	0	0	311	0	0	0	0	0	""	""	""	189
"AmplificationPeak3"	"PGLYRP3"	0	0	311	0	0	0	0	0	""	""	""	190
"AmplificationPeak3"	"HIST2H3D"	0	0	311	0	0	0	0	0	""	""	""	191
"AmplificationPeak3"	"HSPA6"	0	0	311	0	0	0	0	0	""	""	""	192
"AmplificationPeak3"	"SH2D2A"	0	0	311	0	0	0	0	0	""	""	""	193
"AmplificationPeak3"	"MUC1"	0	0	311	0	0	0	0	0	""	""	""	194
"AmplificationPeak3"	"ADAM15"	0	0	311	0	0	0	0	0	""	""	""	195
"AmplificationPeak3"	"ATP1B1"	0	0	311	0	0	0	0	0	""	""	""	196
